smiles,Td
O=[N+]([O-])/N=c1\[nH]nc(CO[N+](=O)[O-])[nH]1,208.55
N/C(N)=C([N+]([O-])=O)\C1=NC=NC(N)=N1,276
O=[N+](C(C1=NN(COCN2N=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)N=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],130
O=[N+]([O-])c1ncn(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,141
O=[N+](C1=NNN=N1)[O-],130
O=[N+](NC1=NN=NN1CCO[N+]([O-])=O)[O-],99
[NH2+]=C1N(C)N=NN1[N-][N+]([O-])=O,150
O=[N+](C1=NN(CO[N+]([O-])=O)C2=C1N(CO[N+]([O-])=O)N=C2[N+]([O-])=O)[O-],206
O=[N+](/N=C1NN=C(CO[N+]([O-])=O)O/1)[O-],208.55
O=[N+](C1=CN(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1)[O-],112
O=[N+](C1=CNN=C1C2=NNC=C2[N+]([O-])=O)[O-],365
CON1N=NN/C1=N\[N+]([O-])=O,223
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNN1C(NN2N=NN=C2)=NN=C1)[O-],182
NC1=C(N(CCCN2N=NN=C2N)N=C1[N+]([O-])=O)[N+]([O-])=O,265
[O-][N+]1=C([N+]([O-])=O)C(C2=NON=C2[N+]([O-])=O)=NO1,145
O=[N+]([O-])c1n[nH]c([N+](=O)[O-])c1-n1nc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],297
[O-][N+]1=C(C2=NN=C(N[N+]([O-])=O)O2)C([N+]([O-])=O)=NO1,85
[O-]C1=C(C([N+]([O-])=O)=NN1C)[N+]#N,228
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NN=NN1CCCCN2N=NN=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],166
O=[N+]([O-])c1nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2c([N+](=O)[O-])nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c12,160
Nn1cc([N+](=O)[O-])nc1[N+](=O)[O-],264
NC1=NN=C(N1N)C2=NNC=C2[N+]([O-])=O,331
[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N/C2=NON=C2N[N+]([O-])=O,90
[O-]/[N+](C1=NON=C1/N=[N+]([O-])/C2=NON=C2[N+]([O-])=O)=N\[N+]([O-])=O,114
CN(CC(NNC(CN([N+]([O-])=O)C)=O)=O)[N+]([O-])=O,201
OC(CN([N+]([O-])=O)C(C(N([N+]([O-])=O)CC(O)=O)=O)=O)=O,132
O=C1OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)N1[N+]([O-])=O,160
